No_studies,Bertheau,Cavaler,Davidson,Munguia,Poissant,Chaplin_Kramer,Hoeksema,Huo,Song,Yue,Velthuis,Buchanan,Garcia,Peng,Smith
1,5,10,1,61,29,8,21,14,2,37,0,18,10,72,25
2,6,7,10,6,16,15,31,5,1,47,8,17,15,8,4
3,2,1,6,1,14,7,10,4,1,41,0,15,5,4,1
4,5,2,6,1,9,3,12,5,3,39,11,2,3,8,2
5,2,2,2,0,6,1,4,1,1,5,0,0,1,1,0
6,1,4,6,1,9,2,12,2,4,41,3,1,2,3,1
7,0,0,2,1,5,1,3,0,0,4,0,0,0,1,0
8,0,0,2,0,11,1,6,0,1,13,3,0,0,0,1
9,0,0,1,0,3,0,1,0,1,13,0,0,1,1,0
10,2,0,0,0,2,1,5,0,2,8,0,1,0,0,0
11,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
12,1,0,3,0,2,0,3,0,0,17,3,0,0,0,0
13,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0
14,1,0,0,0,1,0,1,0,0,4,0,0,0,0,0
15,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0
16,0,0,3,0,1,0,1,0,1,6,0,1,0,1,0
17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0
25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
28,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
