author_year,model_code,published,species,class,sex,time,response,response_detail,environment,environment_detail,individuals,predicted_direction,actual_direction,statistic,statistic_value,df,r,Zr,var,Zr_directed,source,covariates ,random effects,random,ID_random
Hammers2013,ham1,yes,acrocephalus.sechellensis,bird,both,Birth year,survival,probability of survival to next year,cohort quality,"total number of fledglings, estimate of population-level food availability (""year quality"")",270,positive,negative,Z,-0.54,270,-0.032863353,-0.032875192,0.003745318,-0.032875192,table 1 (age x early-life year quality),10,"indiv (f), indiv (m), year, area",4,yes
Hammers2013,ham1,yes,acrocephalus.sechellensis,bird,both,Birth year,survival,probability of survival to next year,food availability,index of insect availability on territory,270,positive,negative,Z,-0.67,270,-0.040774902,-0.040797521,0.003745318,-0.040797521,table 1 (age x early-life territory quality),10,"indiv (f), indiv (m), year, area",4,yes
Hammers2013,ham1,yes,acrocephalus.sechellensis,bird,both,Birth year,survival,probability of survival to next year,group size,adult individuals resident on territory (a proxy for conspecific food competition),270,negative,positive,Z,0.83,270,0.050512191,0.050555218,0.003745318,-0.050555218,table 1 (age x early-life group size),10,"indiv (f), indiv (m), year, area",4,yes
Nussey2007,nus1,yes,cervus.elaphus,mammal,female,Birth year,fecundity,probability of reproducing in year,density,population density in year of birth,253,negative,negative,t from B/s,-3,1613,-0.074489632,-0.074627866,0.004,0.074627866,"supplementary material, pg 11, table S1 (age*density in female's year of birth)",9,"indiv, year, cohort",3,yes
Nussey2007,nus2,yes,cervus.elaphus,mammal,female,Birth year,survival,probability of survival to next year,density,population density in year of birth,214,negative,positive,t from B/s,-2.022717746,214,-0.137599405,-0.138477823,0.004739336,-0.138477823,provided by correspondence with investigator,6,"indiv,year, area",3,yes
Baos2012,bao1,yes,ciconia.ciconia,bird,female,Gestation,fecundity,number of fledglings in year,acute pollution,birth before (0) or after (1) a iron mine dyke broke and released toxic metals in the water of breeding grounds,111,negative,negative,t from B/se,-2.153374233,109,-0.202003825,-0.204820746,0.009259259,0.204820746,table 1 (age x group),5,"indiv,year, area",3,yes
Baos2012,bao2,yes,ciconia.ciconia,bird,male,Gestation,fecundity,number of fledglings in year,acute pollution,birth before (0) or after (1) a iron mine dyke broke and released toxic metals in the water of breeding grounds,138,negative,negative,t from B/se,-0.134,138,-0.011406095,-0.01140659,0.007407407,0.01140659,provided through corrrespondance with authors,5,"indiv,year, area",3,yes
Mumby2015,mum1,yes,elephas.maximus,mammal,female,Birth year,fecundity,probability of reproducing in 3 years,weather,birth during monsoon season (associated with higher baseline glucocorticoid concentrations at population-level),455,negative,negative,t from B/s,-2.444444444,251,-0.114099965,-0.114599017,0.002212389,0.114599017,table 1a ('high stress' birth season:age),8,"indiv, area",2,yes
Cartwright2014,car1,yes,falco.punctatus,bird,female,Birth year,fecundity,number of recruits in year,habitat,"proportional area of agricultural habitat within natal environment, with lower agricultural habitat (and higher forest habitat) representing a higher quality early condition through greater food availability (binomial, less than or greater than 30% agricultural habitat)",52,negative,negative,X^2,5.833,52,-0.334922494,-0.348362464,0.020408163,0.348362464,"in text, pg. 1, last paragraph of ""age specific repro success""",8,NA,NA,no
Balbontin2015,bal1,yes,hirundo.rustica,bird,both,Birth year,fecundity,number of fledglings in year,density,conspecific breeding density at age 1-year-old,96,negative,negative,t from B/s,-1.926657264,94,-0.194908372,-0.197434346,0.010752688,0.197434346,"table 5, bottom panel (""age X CS"")",7,"indiv, pack ID",2,yes
Balbontin2015,bal1,yes,hirundo.rustica,bird,both,Birth year,fecundity,number of fledglings in year,predation risk,domestic cat abundance at age 1 year-old,96,negative,negative,t from B/s,-1.393846154,94,-0.142301222,-0.14327358,0.010752688,0.14327358,"table 5, bottom panel (""age X cats"")",7,"indiv, pack ID",2,yes
Marshall2017,mars1,no,mungos.mungo,mammal,female,Birth year,survival,probability of survival to next year,weather,mean monthly rainfall in birth year,53,positive,negative,t from B/s,0.027277625,51,-0.003819604,-0.003819622,0.02,-0.003819622,provided by correspondence with investigator,3,"indiv, pack ID",2,yes
