Trial,StudyID,Author,Year,Journal,PoolType,MeanControl,SDControl,Ncontrol,MeanTreatment,SDTreatment,Ntreatment,FunctionalGroup,Organisms,DataPoint,Location,UnitSize,Manip/Obs,TemporalScale,Latitude,Longtitude,Structure,Exposure,Tidalheight
1,1,Firth et al,2014a, Marine Environmental Research,Natural,2.882956879,1.012967793,10,4.829568789,0.779205994,10,Benthic,All,Sulesund,Sulesund,0.01,Observational,Sampling event,62.7,-5.25,Natural,Moderately to highly exposed,N/A
2,1,Firth et al,2014a, Marine Environmental Research,Natural,3.080082136,1.012967793,10,4.287474333,0.623364795,10,Benthic,All,Vigra,Vigra,0.01,Observational,Sampling event,62.8,-6.04,Natural,Moderately to highly exposed,N/A
3,1,Firth et al,2014a, Marine Environmental Research,Natural,1.626283368,0.857126594,10,4.804928131,0.779205994,10,Benthic,All,Port Patrick,Port Patrick,0.01,Observational,Sampling event,54.8,-5.14,Natural,Moderately to highly exposed,N/A
4,1,Firth et al,2014a, Marine Environmental Research,Natural,5.223819302,1.480491389,10,7.663244353,2.571379781,10,Benthic,All,Penmon,Penmon,0.01,Observational,Sampling event,53.35,-4.04,Natural,Moderately to highly exposed,N/A
5,1,Firth et al,2014a, Marine Environmental Research,Natural,6.480492813,2.960982778,10,8.747433265,3.350585775,10,Benthic,All,Port Dinllaen,Port Dinllaen,0.01,Observational,Sampling event,52.95,-4.7,Natural,Moderately to highly exposed,N/A
6,1,Firth et al,2014a, Marine Environmental Research,Natural,2.981519507,1.012967793,10,5.199178645,0.935047193,10,Benthic,All,Newquay,Newquay,0.01,Observational,Sampling event,50.45,-5.1,Natural,Moderately to highly exposed,N/A
7,1,Firth et al,2014a, Marine Environmental Research,Natural,2.266940452,0.701285395,10,3.006160164,1.168808991,10,Benthic,All,Brixham,Brixham,0.01,Observational,Sampling event,50.45,-3.5,Natural,Moderately to highly exposed,N/A
8,1,Firth et al,2014a, Marine Environmental Research,Natural,3.400410678,1.090888392,10,4.804928131,1.792173787,10,Benthic,All,Torquay,Torquay,0.01,Observational,Sampling event,50.48,-3.5,Natural,Moderately to highly exposed,N/A
9,1,Firth et al,2014a, Marine Environmental Research,Natural,2.094455852,0.467523597,10,3.646817248,1.40257079,10,Benthic,All,Flamborough,Flamborough,0.01,Observational,Sampling event,54.14,-0.8,Natural,Moderately to highly exposed,N/A
10,1,Firth et al,2014a, Marine Environmental Research,Natural,2.291581109,1.480491389,10,6.874743326,1.870094386,10,Benthic,All,Carnsore Point,Carnsore Point,0.01,Observational,Sampling event,52.2,-6.4,Natural,Moderately to highly exposed,N/A
