Study.reference,Study_ID,Name.of.study.area,Region,Intertidal_Subtidal,Depth (m),SBT (deg C),POC (g Corg m-2 yr-1),PP (mg C m-2 d-1),Habitat description from paper,Habitat type,Folk_category,Biogenic (%),Gravel (%),Sand (%),Mud (%),Fishing gear description from paper,Gear.type,PD (cm),f,Smin (m),Area of one disturbed plot (m2),FishHist,Metric,Macrofauna / Meiofauna,Gear used to sample the benthos ,Infauna / Epifauna,Scavenger.effect,Time,Method,Mean_BefCtrl,SD_BefCtrl,n_BefCtrl,Mean_BefImpt,SD_BefImpt,n_BefImpt,Mean_AftCtrl,SD_AftCtrl,n_AftCtrl,Mean_AftImpt,SD_AftImpt,n_AftImpt,Author,Year,notes
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,NA,62.9,Undisturbed,Numbers,Macrofauna,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,6.2,0.58,18,NA,NA,NA,5.1,0.38,18,Alves,2003,
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,1,62.9,Undisturbed,Numbers,Meiofauna ,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,21.43,1,12,NA,NA,NA,16.19,1.1,12,Alves,2003,
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,1,62.9,Undisturbed,Biomass,Macrofauna,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,3.06,0.73,18,NA,NA,NA,3.13,0.64,18,Alves,2003,
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,1,62.9,Undisturbed,Biomass,Meiofauna ,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,5.39,0.67,12,NA,NA,NA,4,0.67,12,Alves,2003,
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,1,62.9,Undisturbed,Species richness,Macrofauna,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,1.91,0.08,18,NA,NA,NA,1.79,0.06,18,Alves,2003,
"Alves, F., Chicharo, L., Nogueira, A. & Regala, J. 2003. Changes in benthic community structure due to clam dredging on the Algarve coast and the importance of seasonal analysis. Journal of the Marine Biological Association of the United Kingdom. 83:719-729",1.1.1,"Lagos, Algarve Coast, South Portugal",Southern Europe,S,8,14.15,53.65,2257.2,"Sandy Sediment (Chicharo et al., 2002)",S,S,0,0,100,0,Commercial Portuguese clam dredge,TD,5.47,1,1,62.9,Undisturbed,Species richness,Meiofauna ,Quandrat for macrofauna / corer for meiofauna,epifauna / infauna,y,1,BA,NA,NA,NA,1.6,0.1,12,NA,NA,NA,1.4,0.18,12,Alves,2003,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,0.08,BACI,76.66,25.89,3,100.42,34.54,3,76.78,23.74,3,46.59,23.74,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,1,BACI,76.66,25.89,3,100.42,34.54,3,140.56,48.57,3,26.2,26.98,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,2,BACI,76.66,25.89,3,100.42,34.54,3,127.73,37.78,3,64.09,62.59,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.1,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,5,25.23,2000,Undisturbed,Numbers,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,3,BACI,76.66,25.89,3,100.42,34.54,3,151.59,23.74,3,79.32,45.32,3,Carvalho,2011,
