Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
1,1,Hernández-Cumplido et al,2016,Ecology,4.733,figure 4,tropical,Phaseolus lunatus,herbaceous,annual,herbivore,Apion godmani,Coleoptera,11,adult,chewer,specialist,JA_JA,field,local,green pods,seeds,abundance,herbivore,Zabrotes subfasciatus,Coleoptera,adult,chewer,specialist,H,2-Jan,3.051,0.275,56,1.016,0.244,66,Hernandez-Cumplido,
2,1,Hernández-Cumplido et al,2016,Ecology,4.733,figure 4,tropical,Phaseolus lunatus,herbaceous,annual,herbivore,Cerotoma ruficornis,Coleoptera,11,adult,chewer,specialist,JA_JA,field,distant,leaves,seeds,abundance,herbivore,Zabrotes subfasciatus,Coleoptera,adult,chewer,specialist,H,2-Jan,3.051,0.275,56,1.007,0.253,66,Hernandez-Cumplido,
3,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,4-Mar,0.103,0.006,40,0.063,0.027,40,Bezemer,
4,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,growth,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,4-Mar,0.103,0.006,40,0.032,0.023,40,Bezemer,
5,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,6-May,1087.2,180,40,1036.8,172.8,40,Bezemer,
6,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,6-May,1087.2,180,40,554.4,158.4,40,Bezemer,
7,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,8-Jul,28.065,4.113,40,31.694,4.355,40,Bezemer,
8,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,8-Jul,28.065,4.113,40,31.694,7.5,40,Bezemer,
9,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,10-Sep,45.429,9.143,40,29.714,2.857,40,Bezemer,
10,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,10-Sep,45.429,9.143,40,16.857,5.714,40,Bezemer,
11,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,12-Nov,8.859,0.469,40,7.688,1.266,40,Bezemer,
12,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,12-Nov,8.859,0.469,40,7.453,0.844,40,Bezemer,
13,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Spodoptera exigua,Lepidoptera,5,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,13-14,120.755,58.491,40,18.868,14.151,40,Bezemer,
14,2,Bezemer et al ,2003,Oikos,3.586,figure 1,tropical,Gossypium herbaceum,herbaceous,perennial,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,13-14,120.755,58.491,40,56.604,33.962,40,Bezemer,
15,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Pieris rapae,Lepidoptera,adult,chewer,specialist,C,15,0.771,0.086,10,0.006,0.107,10,Poelman,
16,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Pieris brassicae,Lepidoptera,adult,chewer,specialist,H,16,0.035,0.643,10,0.014,0.258,10,Poelman,
17,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Plutella xylostella,Lepidoptera,adult,chewer,specialist,H,17,0.031,0.558,10,0.02,0.366,10,Poelman,
