Paper,Year_odd_even,Name_length_odd_even,Name_beforeM,Name_vowel_33%,Year_odd_even_AddPaperEff,Name_length_odd_even_AddPaperEff,Name_beforeM_AddPaperEff,Name_vowel_33%_AddPaperEff
1180,0.535115834,0.55047995,0.114176162,0.695585917,0.634829568,0.903239364,0.188383861,0.615325432
1185,0.559776221,0.018159035,0.006604126,0.386936165,0.553722444,0.729669313,0.537892518,0.642811408
120,0.01457462,0.221109347,0.034615158,0.00525919,0.042234813,0.277888297,0.885391952,0.527057055
1307,0.020934259,0.236562287,0.592297136,0.467906936,0.016249294,0.34393481,0.656562847,0.518930143
1365,0.615751249,5.65E-06,0.015425866,0.438192176,0.71902808,0.00486784,0.898012864,0.436874785
2,0.360799573,0.743148109,0.513500745,0.570817055,0.362200001,0.718938856,0.502306569,0.589588069
272,0.553006017,0.195957192,0.606630339,0.15398778,0.553006017,0.195957192,0.606630339,0.15398778
282,0.813420604,0.953107237,0.741051707,0.300861495,0.813420604,0.953107237,0.741051707,0.300861495
303,0.019896513,0.568477671,0.200173827,0.45059333,0.019896513,0.568477671,0.200173827,0.45059333
424,0.675498644,0.259573922,0.174529041,0.100459164,0.675498644,0.259573922,0.174529041,0.100459164
511,2.47E-121,0,0,0.000100816,0.509136298,0.04033834,0.284130157,0.307638906
53,0.032302538,4.92E-13,0.991397323,4.03E-08,0.558365575,0.006044929,0.260025513,0.025383632
585,0.000223077,0.308510145,0.010562684,0.008910537,0.000223077,0.308510145,0.010562684,0.008910537
628,0.620780114,0.586142602,0.586142602,0.790324161,0.620780114,0.586142602,0.586142602,0.790324161
639,0.061528239,0.007086032,0.839912403,0.796168922,0.461837641,0.012733775,0.548245393,0.724156975
674,0.052377248,0.00044125,0.15655816,0.059706318,0.508162869,0.043905717,0.657017761,0.850745343
695,0.030574371,0.225534345,0.000409357,0.559678589,0.128981176,0.352372074,0.390047228,0.943042721
759,0.627796385,0.995737604,0.232413819,0.096534881,0.251659527,0.896623141,0.430837665,0.176168336
82,0.273013805,5.14E-62,1.03E-38,0.00107377,0.942474384,0.39798427,0.487825447,0.48766198
952,0.423016465,0.282150165,0.165821614,0.057426224,0.77960711,0.371385482,0.371635553,0.486403288
