Shimamoto,Koshida,Moreira,Santana,Zhou,Dong,Sciberras,Banks,Bugnot,StuartHaentjens
0.225274725,0.23962718,0.09013438,0.145047545,0.21869119,0.3043478,0.33772502,0.29033414,0.35136418,0.23664122
0.225274725,0.51015882,0.09013438,0.145047545,0.08012693,0.1219512,0.33772502,0.29033414,0.32887688,0.03793103
0.130681818,0.51015882,0.05825243,0.145047545,0.13664793,0.2666667,0.33772502,0.6205374,0.52704628,0.03111111
0.130681818,0.51015882,0.05825243,0.145047545,0.24503849,0.125,0.33772502,0.52619265,0.28341168,0.02
0.247058824,0.29160593,0.16556291,0.145047545,0.30500977,0.1212121,0.33772502,0.3593138,0.45690704,0.16101108
0.389578164,0.1721326,0.16556291,0.145047545,0.37388027,0.195122,0.33772502,0.94704056,0.33974884,0.09756098
0.379194631,0.21174427,0.14655265,0.145047545,0.16774355,0.1578947,0.33772502,1.27756501,0.30935325,0.075
0.151162791,0.28301214,0.14655265,0.145047545,0.11500952,0.1351351,0.33772502,1.62840097,0.32081078,0.055
0.240601504,0.28859535,0.20125911,0.287479787,0.07078084,0.1176471,0.64285714,1.27756501,0.2232196,0.02686567
0.307142857,0.17717718,0.20125911,0.287479787,0.15010104,0.1590909,0.64285714,16.5829175,0.64605673,0.13333333
0.603448276,0.1125,0.05294051,0.287479787,0.23863957,0.03125,0.64285714,16.5829175,0.41472494,0.27350427
0.1640625,0.1125,0.05294051,0.287479787,0.23487828,0.1343284,0.64285714,1.05813953,0.31275274,0.173
0.462343096,0.15434084,0.48437746,0.287479787,0.24062001,0.1206897,0.64285714,0.575,0.20687798,0.12048193
0.31643002,0.41397891,0.48437746,0.287479787,0.07615942,0.1818182,0.64285714,1.25949321,0.2232196,0.07099698
0.601587302,0.26126689,0.11154345,0.287479787,0.2049173,0.385786,0.64285714,1.25949321,0.38420196,0.07099698
0.957055215,0.26126689,18.3714286,0.287479787,0.29300683,0.385786,0.64285714,1.25949321,0.46544347,0.07099698
0.134955752,0.27498065,18,0.20212766,0.19510792,0.2131913,0.1361715,1.37428441,0.20867822,0.07099698
1.558823529,0.42546877,18.0609756,0.20212766,0.37849032,0.1723394,0.1361715,1.29099445,0.46116549,0.07099698
2.65060241,0.28192771,17.5454545,0.20212766,0.44811588,0.1828191,0.1361715,1.29099445,0.2541116,0.07099698
0.236842105,0.5071674,17.9166667,0.20212766,0.15181461,0.0101222,0.1361715,1.89890576,0.37947332,0.29244444
0.236842105,0.15431916,18.1538462,0.20212766,0.15579747,0.0169435,0.1361715,1.89890576,0.72119924,0.15294118
0.236842105,0.15431916,18.1111111,0.375,0.16119691,0.3747871,0.1361715,2.61842007,0.98240469,0.21058824
0.236842105,0.92539168,18.1846154,0.411529284,0.06911373,0.1230159,0.1361715,2.56562934,1.45020351,0.29139073
0.236842105,0.53111804,17.2,0.411529284,0.13912929,0.8,0.1361715,2.56562934,1.03401987,0.31259769
