Shimamoto,Koshida,Moreira,Santana,Zhou,Dong,Sciberras,Banks,Bugnot,StuartHaentjens
30,6,56,8,4,6,3,30,10,100
30,7,56,8,4,6,3,30,10,6
30,7,40,8,6,6,3,24,10,4
30,7,40,8,6,6,3,12,10,27
8,32,40,8,6,6,3,10,10,7
8,4,40,8,6,6,3,20,10,93
8,4,40,8,6,6,3,19,10,4
8,37,40,8,6,6,3,19,10,12
8,8,40,10,6,6,3,19,10,12
8,21,40,10,6,6,3,19,10,12
8,4,40,10,4,6,3,19,10,12
8,4,40,10,7,6,3,11,10,35
10,4,40,10,5,6,3,14,10,4
5,55,40,10,5,3,3,18,10,4
10,18,10,10,5,3,3,18,10,24
5,20,10,10,5,3,3,18,10,5
5,20,10,5,4,5,3,15,10,5
75,10,10,5,6,5,3,15,10,20
75,11,10,5,6,6,3,15,10,4
21,4,10,5,6,4,3,15,10,12
21,17,10,5,6,4,3,15,10,36
21,10,10,10,6,4,3,6,10,72
21,10,10,10,6,4,3,6,2,24
21,4,10,10,6,4,3,6,5,102
21,80,10,10,6,4,3,6,5,54
21,13,10,10,6,4,3,6,5,54
21,4,10,10,6,4,3,15,5,54
7,3,10,10,6,4,3,15,5,54
7,10,10,5,6,4,3,25,5,54
7,10,10,5,6,4,3,15,5,54
7,2,10,5,6,4,3,15,5,6
7,2,10,6,6,4,3,25,5,4
7,2,10,6,6,4,3,25,5,20
7,2,10,6,6,4,3,25,5,20
7,5,15,6,6,4,3,15,5,6
7,5,15,5,6,4,3,25,6,4
7,16,15,5,6,4,3,15,6,4
7,2,15,6,6,3,3,15,37,18
7,69,15,6,6,3,3,15,,189
7,2,15,6,6,3,3,25,,13
7,12,40,6,24,3,3,15,,5
7,4,40,7,24,6,3,12,,5
7,7,40,7,24,6,3,14,,15
21,17,40,6,24,4,3,6,,45
22,17,40,27,24,4,3,6,,45
23,17,40,27,24,4,3,6,,6
24,360,40,27,24,4,3,6,,
21,180,40,27,24,5,3,36,,
22,56,40,27,24,5,3,22,,
23,29,40,27,24,5,3,22,,
24,29,40,27,24,4,3,7,,
8,6,40,27,24,5,3,7,,
8,,40,27,24,4,3,4,,
8,,40,27,24,5,3,4,,
8,,40,27,24,5,12,4,,
8,,40,27,24,4,12,22,,
8,,40,27,24,5,12,15,,
8,,40,5,24,5,12,16,,
8,,288,5,24,4,12,8,,
7,,20,5,24,4,12,8,,
7,,20,5,24,8,10,8,,
7,,16,5,3,10,10,8,,
7,,16,5,3,3,10,8,,
7,,15,5,3,10,10,8,,
7,,15,5,3,10,10,8,,
7,,8,5,3,10,10,20,,
7,,8,5,3,6,3,12,,
4,,8,5,6,5,3,12,,
4,,16,5,6,4,3,10,,
4,,40,5,6,4,3,10,,
4,,25,5,6,4,3,14,,
4,,35,10,6,4,3,14,,
4,,38,24,4,4,3,17,,
4,,38,24,4,4,3,8,,
4,,38,25,4,4,3,17,,
4,,38,3,4,4,3,8,,
4,,38,3,3,6,3,11,,
4,,38,3,3,6,3,6,,
4,,38,3,6,6,3,11,,
4,,38,5,6,6,3,6,,
4,,50,14,4,6,3,20,,
12,,50,14,4,6,3,8,,
12,,50,14,6,6,6,20,,
12,,9,14,6,6,6,8,,
12,,14,14,6,6,16,17,,
4,,14,14,6,6,16,7,,
4,,14,14,6,6,16,17,,
4,,50,14,6,6,16,7,,
4,,50,14,6,6,16,116,,
3,,50,14,6,6,16,116,,
3,,60,14,6,6,16,36,,
3,,35,14,6,6,16,6,,
3,,56,10,6,6,16,6,,
3,,67,10,6,6,16,20,,
3,,21,10,3,6,16,,,
3,,21,10,3,6,16,,,
3,,8,10,3,6,16,,,
3,,8,10,3,6,16,,,
3,,8,,3,6,8,,,
3,,10,,3,6,8,,,
3,,10,,3,6,8,,,
3,,24,,3,6,8,,,
3,,24,,3,6,8,,,
3,,24,,3,4,8,,,
3,,24,,3,20,8,,,
3,,6,,3,10,8,,,
3,,6,,3,10,8,,,
3,,48,,3,10,4,,,
3,,20,,3,10,4,,,
3,,20,,3,6,4,,,
3,,20,,3,9,4,,,
3,,20,,3,12,4,,,
3,,20,,6,12,4,,,
3,,20,,6,12,4,,,
3,,20,,6,12,4,,,
3,,20,,6,5,9,,,
3,,20,,6,10,9,,,
3,,20,,6,4,9,,,
3,,20,,6,4,9,,,
3,,10,,6,4,6,,,
3,,10,,6,4,6,,,
3,,17,,6,8,6,,,
3,,17,,3,3,6,,,
3,,17,,3,3,9,,,
3,,20,,3,3,9,,,
3,,20,,3,3,9,,,
3,,20,,3,3,9,,,
3,,20,,3,3,6,,,
3,,25,,3,3,6,,,
3,,25,,9,3,6,,,
3,,25,,9,3,6,,,
3,,25,,32,3,9,,,
3,,7,,32,3,9,,,
3,,36,,32,3,9,,,
3,,5,,4,3,9,,,
3,,5,,4,3,9,,,
3,,5,,4,3,9,,,
3,,5,,4,10,9,,,
3,,5,,4,10,6,,,
3,,5,,4,9,6,,,
3,,5,,4,9,6,,,
3,,5,,4,9,6,,,
3,,15,,4,9,6,,,
3,,15,,4,9,6,,,
3,,15,,4,9,6,,,
3,,15,,4,9,9,,,
3,,15,,3,9,9,,,
3,,15,,3,9,9,,,
3,,15,,3,8,9,,,
3,,15,,3,8,9,,,
3,,15,,3,8,9,,,
3,,15,,3,8,9,,,
3,,20,,3,8,6,,,
3,,18,,3,8,6,,,
3,,18,,,8,6,,,
3,,18,,,8,6,,,
3,,18,,,8,6,,,
3,,10,,,8,6,,,
3,,10,,,8,6,,,
3,,10,,,8,9,,,
3,,10,,,8,9,,,
3,,10,,,8,9,,,
3,,10,,,8,9,,,
8,,10,,,2,9,,,
8,,10,,,2,9,,,
8,,20,,,2,9,,,
8,,20,,,2,9,,,
8,,20,,,2,9,,,
6,,20,,,2,9,,,
5,,20,,,2,9,,,
8,,20,,,2,9,,,
8,,20,,,2,9,,,
8,,20,,,2,9,,,
6,,10,,,2,3,,,
5,,10,,,2,3,,,
8,,10,,,4,3,,,
8,,10,,,3,3,,,
6,,10,,,3,3,,,
5,,10,,,3,3,,,
8,,20,,,3,3,,,
8,,20,,,4,3,,,
8,,20,,,6,3,,,
6,,20,,,5,3,,,
5,,20,,,3,3,,,
3,,20,,,3,3,,,
3,,20,,,3,3,,,
3,,20,,,18,3,,,
3,,50,,,5,3,,,
3,,50,,,4,3,,,
3,,50,,,4,4,,,
3,,50,,,5,4,,,
3,,50,,,6,4,,,
3,,50,,,9,4,,,
3,,5,,,8,4,,,
3,,5,,,4,4,,,
3,,5,,,8,4,,,
3,,5,,,8,4,,,
12,,5,,,8,4,,,
12,,5,,,8,4,,,
8,,5,,,8,6,,,
8,,5,,,8,6,,,
8,,15,,,20,6,,,
8,,15,,,20,6,,,
8,,15,,,6,6,,,
8,,15,,,6,6,,,
8,,15,,,6,6,,,
8,,15,,,6,6,,,
8,,16,,,2,5,,,
8,,16,,,2,5,,,
8,,16,,,2,3,,,
8,,15,,,2,,,,
8,,15,,,,,,,
8,,15,,,,,,,
8,,15,,,,,,,
8,,15,,,,,,,
8,,15,,,,,,,
8,,10,,,,,,,
8,,10,,,,,,,
8,,16,,,,,,,
8,,16,,,,,,,
8,,16,,,,,,,
8,,16,,,,,,,
8,,16,,,,,,,
8,,16,,,,,,,
8,,4,,,,,,,
8,,4,,,,,,,
8,,4,,,,,,,
8,,4,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,40,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
8,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,20,,,,,,,
5,,7,,,,,,,
5,,7,,,,,,,
5,,7,,,,,,,
2,,7,,,,,,,
2,,36,,,,,,,
2,,36,,,,,,,
2,,36,,,,,,,
20,,20,,,,,,,
20,,20,,,,,,,
20,,14,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,15,,,,,,,
20,,75,,,,,,,
20,,75,,,,,,,
20,,75,,,,,,,
20,,12,,,,,,,
20,,12,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,19,,,,,,,
20,,15,,,,,,,
20,,14,,,,,,,
20,,26,,,,,,,
20,,17,,,,,,,
20,,15,,,,,,,
20,,15,,,,,,,
4,,15,,,,,,,
4,,15,,,,,,,
4,,15,,,,,,,
4,,15,,,,,,,
4,,15,,,,,,,
4,,15,,,,,,,
4,,10,,,,,,,
4,,10,,,,,,,
4,,30,,,,,,,
15,,10,,,,,,,
15,,10,,,,,,,
15,,20,,,,,,,
15,,10,,,,,,,
15,,10,,,,,,,
15,,10,,,,,,,
13,,10,,,,,,,
25,,10,,,,,,,
13,,10,,,,,,,
25,,10,,,,,,,
13,,10,,,,,,,
25,,10,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
3,,8,,,,,,,
4,,8,,,,,,,
4,,8,,,,,,,
4,,20,,,,,,,
4,,20,,,,,,,
4,,20,,,,,,,
4,,20,,,,,,,
4,,54,,,,,,,
4,,54,,,,,,,
4,,54,,,,,,,
4,,54,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,9,,,,,,,
4,,9,,,,,,,
4,,6,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
4,,5,,,,,,,
5,,5,,,,,,,
5,,5,,,,,,,
5,,5,,,,,,,
5,,5,,,,,,,
5,,5,,,,,,,
16,,5,,,,,,,
32,,5,,,,,,,
8,,5,,,,,,,
16,,5,,,,,,,
16,,5,,,,,,,
32,,5,,,,,,,
16,,5,,,,,,,
32,,5,,,,,,,
12,,5,,,,,,,
8,,11,,,,,,,
16,,11,,,,,,,
8,,11,,,,,,,
3,,5,,,,,,,
2,,5,,,,,,,
3,,5,,,,,,,
3,,5,,,,,,,
3,,5,,,,,,,
2,,5,,,,,,,
3,,5,,,,,,,
3,,5,,,,,,,
3,,160,,,,,,,
2,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
45,,10,,,,,,,
184,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,45,,,,,,,
3,,45,,,,,,,
3,,45,,,,,,,
3,,45,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,10,,,,,,,
3,,60,,,,,,,
3,,60,,,,,,,
3,,60,,,,,,,
3,,60,,,,,,,
3,,60,,,,,,,
3,,60,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,20,,,,,,,
3,,25,,,,,,,
3,,25,,,,,,,
3,,25,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,25,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
3,,12,,,,,,,
20,,12,,,,,,,
20,,12,,,,,,,
20,,12,,,,,,,
10,,5,,,,,,,
10,,5,,,,,,,
10,,14,,,,,,,
10,,14,,,,,,,
10,,20,,,,,,,
10,,20,,,,,,,
3,,9,,,,,,,
3,,9,,,,,,,
3,,28,,,,,,,
3,,28,,,,,,,
3,,18,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,11,,,,,,,
3,,11,,,,,,,
3,,6,,,,,,,
3,,32,,,,,,,
3,,30,,,,,,,
3,,52,,,,,,,
3,,50,,,,,,,
3,,100,,,,,,,
3,,100,,,,,,,
3,,100,,,,,,,
3,,48,,,,,,,
3,,21,,,,,,,
3,,21,,,,,,,
3,,21,,,,,,,
3,,21,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,7,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,27,,,,,,,
3,,27,,,,,,,
3,,27,,,,,,,
3,,27,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,18,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,14,,,,,,,
3,,62,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,15,,,,,,,
3,,26,,,,,,,
20,,19,,,,,,,
20,,16,,,,,,,
20,,5,,,,,,,
20,,25,,,,,,,
20,,10,,,,,,,
20,,10,,,,,,,
20,,13,,,,,,,
20,,20,,,,,,,
